PartitionKey,RowKey,Timestamp,ChainId,ChainName,Kardex,StoreId,StoreName,Address,City,Zipcode,Active,Phone,CvrNumber,ValidFrom,MondayFrom,MondayTo,TuesdayFrom,TuesdayTo,WednesdayFrom,WednesdayTo,ThursdayFrom,ThursdayTo,FridayFrom,FridayTo,SaturdayFrom,SaturdayTo,SundayFrom,SundayTo
109,20000101,2017-08-11T12:23:39.760Z,3,SuperBrugsen,8365,109,SuperBrugsen Vangede,Vangede Bygade 61,GENTOFTE,2820,true,39481710,26259495,2000-01-01T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00
109,20180327,2018-03-26T16:23:36.458Z,3,SuperBrugsen,8365,109,SuperBrugsen Vangede,Vangede Bygade 61,GENTOFTE,2820,true,39481710,26259495,2018-03-27T00:00:00.000Z,08:00,20:45,08:00,20:45,08:00,20:45,08:00,20:45,08:00,20:45,08:00,20:45,08:00,20:45
109,20180604,2018-06-04T11:23:36.699Z,3,SuperBrugsen,8365,109,SuperBrugsen Vangede,Vangede Bygade 61,GENTOFTE,2820,true,39481710,26259495,2018-06-04T00:00:00.000Z,08:00,20:45,Lukket,Lukket,08:00,20:45,08:00,20:45,08:00,20:45,08:00,20:45,08:00,20:45
109,20181219,2018-12-18T12:23:37.124Z,3,SuperBrugsen,8365,109,SuperBrugsen Vangede,Vangede Bygade 61,GENTOFTE,2820,true,39481710,26259495,2018-12-19T00:00:00.000Z,08:00,20:45,08:00,20:45,08:00,20:45,08:00,20:45,08:00,20:45,08:00,20:45,08:00,20:45
11,20000101,2017-08-11T12:23:54.843Z,3,SuperBrugsen,8496,11,SuperBrugsen Fortunbyen,Lyngbygårdsvej 151,KONGENS LYNGBY,2800,true,45280555,26259495,2000-01-01T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00
11,20180306,2018-03-05T12:23:35.193Z,3,SuperBrugsen,8496,11,SuperBrugsen Fortunbyen,Lyngbygårdsvej 151,KONGENS LYNGBY,2800,true,45280555,26259495,2018-03-06T00:00:00.000Z,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00
110,20000101,2017-08-11T12:23:38.042Z,3,SuperBrugsen,4820,110,SuperBrugsen Havdrup,Skovvej 3,HAVDRUP,4622,true,46181300,18623978,2000-01-01T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00
"1106,20000101,2017-08-11T12:23:41.375Z,11,Fakta Tyskland,25910,1106,Fakta Tyskland lager,""Glyngøre 4, 24955 Harrislee"",,0,false,0,0,2000-01-01T00:00:00.000Z,,,,,,,,,,,,,,"
1107,20000101,2017-08-11T12:23:41.328Z,11,Fakta Tyskland,25804,1107,Bruges ikke,Dorfstrasse 5  25927 Aventoft,,0,false,64983766,0,2000-01-01T00:00:00.000Z,,,,,,,,,,,,,,
1108,20000101,2017-08-11T12:23:41.308Z,11,Fakta Tyskland,25803,1108,bruges ikke,Industriweg 37 24955 Harrislee,,0,false,15003639,0,2000-01-01T00:00:00.000Z,,,,,,,,,,,,,,
